instruct_text,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,text_7.started,text_7.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,welcome_2.started,welcome_2.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,key_resp_19.keys,key_resp_19.rt,key_resp_19.started,key_resp_19.stopped,image_14.started,image_14.stopped,text_24.started,text_24.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.started,key_resp_20.stopped,text_25.started,text_25.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.started,key_resp_21.stopped,image_15.started,image_15.stopped,text_26.started,text_26.stopped,key_resp_15.keys,key_resp_15.rt,key_resp_15.started,key_resp_15.stopped,text_17.started,text_17.stopped,image_10.started,image_10.stopped,text_19.started,text_19.stopped,key_resp_16.keys,key_resp_16.rt,key_resp_16.started,key_resp_16.stopped,image_12.started,image_12.stopped,text_20.started,text_20.stopped,key_resp_17.keys,key_resp_17.rt,key_resp_17.started,key_resp_17.stopped,image_13.started,image_13.stopped,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"You'll be given a blank text box under the image, where you can type out all the details of the story you can remember. ",,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,122.39015876600752,None,space,6.660160632978659,122.39015876600752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.90621927799657,None,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,129.10718444301165,None,space,3.153968269994948,129.10718444301165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
4,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,132.29076414101291,None,space,1.0882131450052839,132.29076414101291,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,133.44084122800268,None,space,2.3559864349954296,133.44084122800268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.82432485101162,None,space,7.299530935008079,135.82432485101162,None,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
You'll type your answers to the questions in a text box.,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,143.1915235730121,None,space,3.1611142699839547,143.1915235730121,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.82432485101162,None,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
Questions?,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,146.39174436801113,None,space,1.8617845450062305,146.39174436801113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
Let's begin Part 1!,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,148.29193393100286,None,space,0.4285574179957621,148.29193393100286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
The 8 perspectives are as follows:,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,148.7751884360041,None,space,2.763127619982697,148.7751884360041,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.65880113100866,None,space,0.9744374630099628,151.65880113100866,None,151.65880113100866,None,100419_p3,001,2019_Oct_04_1600,part1_subjective_segmentation,3.2.1,59.97580647264227,
