instruct_text,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_13.thisRepN,trials_13.thisTrialN,trials_13.thisN,trials_13.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,key_resp_21.keys,key_resp_21.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
3,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8033359679975547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.753480150015093,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
"You'll be given a blank textbox under the image, where you can type out all the details of the story you can remember. ",,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.403608524997253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.7701488549937494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
4,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7865398429566994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.903322934987955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.736546401982196,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
Questions?,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.036919181002304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
Let's begin Part 1! ,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9195781519520096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
The 8 perspectives are as follows:,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.5198873080080375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.570151609950699,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,19.3376536850119,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2697605620487593,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.9530277800513431,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.7191729140467942,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.9032043400220573,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.4195725609897636,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.4528312389738858,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
You’ll become acquainted with these perspectives more in the following quizzes where you’ll learn the 4 questions associated with each perspective. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,space,7.7704337280010805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
"For each perspective, you'll go through all four questions in a sequence. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,space,3.3698690549936146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
Then you'll get the quiz and indicate which questions you saw in the order in which they appeared in the sequence. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,space,6.753513303003274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
You'll indicate the question you select by pressing the number key corresponding to the number in front of the question. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,space,11.403488580021076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
"If you indicate the wrong question during the quiz, you'll get the questions presented in the correct order again and restart the quiz. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,space,8.43686765799066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
"After you've passed the quizzes for each perspective, you'll do all of the quizzes a final time but without seeing the correct order of the questions beforehand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,space,7.786771729995962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
Press space to begin the quizzes!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,space,2.7531676500220783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/matchmaker.jpg,,What object is the initiator of the interaction holding when he/she first notices the other person?,What is the initial question that begins the conversation between the couple?,When will be the next time the couple meets and for what occasion?,"What time is it when the couple parts?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.7703210129984654,space,42.27278535498772,space,1.1368918070220388,space,0.6528401849791408,space,11.253530692018103,space,1.8007212080410682,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/matchmaker.jpg,,What object is the initiator of the interaction holding when he/she first notices the other person?,What is the initial question that begins the conversation between the couple?,When will be the next time the couple meets and for what occasion?,"What time is it when the couple parts?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3851377129903995,space,3.0025515379966237,space,5.6371082669938914,space,7.303079662029631,space,6.890995181980543,space,2.4371128189959563,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/matchmaker.jpg,,What object is the initiator of the interaction holding when he/she first notices the other person?,What is the initial question that begins the conversation between the couple?,When will be the next time the couple meets and for what occasion?,"What time is it when the couple parts?
",Is the couple going to get married?,Who shows more interest?,Matchmaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/weddingplanner.jpg,,"For how many years has the couple been dating?
","How many diamonds are on the ring and what is the diamond color?
","In/on what item is the ring presented?
","Who does the new fiancee text first?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,17.204121307004243,space,9.970598470012192,space,9.101224854995962,space,6.087615799973719,space,11.253849094966426,space,2.403486659983173,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/weddingplanner.jpg,,"For how many years has the couple been dating?
","How many diamonds are on the ring and what is the diamond color?
","In/on what item is the ring presented?
","Who does the new fiancee text first?
",Is anyone taking pictures of the proposal?,How long does the proposal take?,Wedding Planner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/dean.jpg,,"What is the lecture hall like?
","What class are the students in and what is the day’s lecture about?
","What is something taught in lecture?
",What is the next assessment/assignment in class and when is it scheduled/due?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.6674045120016672,space,3.0198383800452575,space,22.60153576702578,space,2.7699672550079413,space,4.969513972988352,space,1.369589478999842,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/dean.jpg,,"What is the lecture hall like?
","What class are the students in and what is the day’s lecture about?
","What is something taught in lecture?
",What is the next assessment/assignment in class and when is it scheduled/due?,Are the students paying attention?,Are the desks comfortable?,Dean of Academic Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/business_reporter.jpg,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.8533305589808151,space,23.75471800204832,space,5.6870235680253245,space,13.40410017000977,space,5.953413798008114,space,3.419883634953294,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/business_reporter.jpg,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/couples.jpg,,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
",Does the person who is being broken up with want to break up and what’s the reason stated by the person being broken up with that he/she does or does not want to break up?,What objects do either partner want back?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.1030976420152,space,22.71809812996071,space,31.802817679999862,space,20.337697792972904,space,3.336557287024334,space,0.9359877800452523,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/couples.jpg,,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
",Does the person who is being broken up with want to break up and what’s the reason stated by the person being broken up with that he/she does or does not want to break up?,What objects do either partner want back?,Does the person being broken up with expect that this is coming?,Who witnesses the breakup?,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/acem.jpg,,"When the clients arrive at the airport, how much time do they have until their flight departs?
",What is the reason for the hold-up at security?,"Toward which gate are the clients walking?
","What section and seat does each client sit in on the plane?
",Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.1180828870274127,space,35.03883798496099,space,2.586630684963893,space,2.350796970014926,space,13.520481165032834,space,0.7696321300463751,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/acem.jpg,,"When the clients arrive at the airport, how much time do they have until their flight departs?
",What is the reason for the hold-up at security?,"Toward which gate are the clients walking?
","What section and seat does each client sit in on the plane?
",Are the security guards friendly or rude?,Are the airport restrooms clean?,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/restaurant_critic.jpg,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9696962549933232,space,2.8028238369734026,space,3.9340020050294697,space,1.4201949249836616,space,1.3029575980035588,space,0.7864840299589559,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/restaurant_critic.jpg,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/gscem.jpg,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How many checkout lanes are open and which one do the clients step into?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9672407169709913,space,2.5031707779853605,space,3.100688638049178,space,5.203276280022692,space,6.70360182505101,space,0.7197026220383123,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/gscem.jpg,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How many checkout lanes are open and which one do the clients step into?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
,jobphotos/business_reporter.jpg,,"What are the job titles of both of the business people?
","How much money is at stake in the initial offer made?
",What is the name of the other industry competitor? ,With what gesture do the business partners secure the deal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10267447197111323,070219_p3,001,2019_Jul_02_1314,part1_subjective_segmentation,3.0.4,60.012494836292454,
