instruct_text,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.801713634999942,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
"Before each story, you will be assigned a perspective to take on while reading it. ",,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.204242711999541,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.886689529999785,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
You must pass this quiz to move onto the story. ,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.018641759999809,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
3,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.8189224679999825,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.968165952000163,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,space,2.603710637000404,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
4,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,space,2.75079569799982,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,space,2.2865720379995764,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,29.67146130999936,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
Questions?,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,7.220297385000777,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
Let's begin Part 1! ,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,space,2.6864479349997055,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
The 8 perspectives are as follows:,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,space,4.653246052000213,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,space,2.9698479670005327,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,space,2.467816134999339,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,space,2.9865636350004934,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,space,3.636548655000297,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,space,2.4530987449998065,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,space,2.1863800700002685,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,space,2.9865459799993914,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,space,2.91939164500036,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
You’ll become acquainted with these perspectives more in the following quizzes where you’ll learn the 4 questions associated with each perspective. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,space,7.88739413500025,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
"For each perspective, you'll go through all four questions in a sequence. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,space,5.853399882999838,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
Then you'll get the quiz and indicate which questions you saw in the order in which they appeared in the sequence. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,space,11.020374591999825,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
You'll indicate the question you select by pressing the number key corresponding to the number in front of the question. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,space,9.05385898500026,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
"If you indicate the wrong question during the quiz, you'll get the questions presented in the correct order again and restart the quiz. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,space,6.35358815500058,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
"After you've passed the quizzes for each perspective, you'll do all of the quizzes a final time but without seeing the correct order of the questions beforehand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,space,8.820651809999617,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
Press space to begin the quizzes!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,space,1.386366500000804,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,jobphotos/couples.jpeg,,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
",Does the person who is being broken up with want to break up and what’s the reason stated by the person being broken up with that he/she does or does not want to break up?,What object(s) do either partner ask for back?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,0,0,0,0,,,,,,,,,,,,,space,6.453450962000716,space,8.670463636999557,space,7.902705111999239,space,12.08787982099966,space,6.901233147000312,space,2.636684449999848,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,jobphotos/couples.jpeg,,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
",Does the person who is being broken up with want to break up and what’s the reason stated by the person being broken up with that he/she does or does not want to break up?,What object(s) do either partner ask for back?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,1,0,1,0,,,,,,,,,,,,,space,4.003305482000542,space,2.1194827899998927,space,3.353234500000326,space,2.0364929750003284,space,2.185508583000228,space,2.920480247999876,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,jobphotos/couples.jpeg,,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
",Does the person who is being broken up with want to break up and what’s the reason stated by the person being broken up with that he/she does or does not want to break up?,What object(s) do either partner ask for back?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,2,0,2,0,,,,,,,,,,,,,space,2.786563235000358,space,9.286470559000009,space,0.17021766800007754,space,0.13463702199987893,space,0.3697920200002045,space,0.7340224519994081,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,jobphotos/couples.jpeg,,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
",Does the person who is being broken up with want to break up and what’s the reason stated by the person being broken up with that he/she does or does not want to break up?,What object(s) do either partner ask for back?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,3,0,3,0,,,,,,,,,,,,,space,2.736380607000683,space,0.8363285949999408,space,0.8020770220000486,space,4.153763899999831,space,0.9860384949997751,space,0.8696662249994915,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,jobphotos/couples.jpeg,,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
",Does the person who is being broken up with want to break up and what’s the reason stated by the person being broken up with that he/she does or does not want to break up?,What object(s) do either partner ask for back?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,4,0,4,0,,,,,,,,,,,,,space,0.8007545700002083,space,0.7026661419995435,space,2.3363969799993356,space,3.5200429269998494,space,2.03641811199941,space,0.7364252650004346,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
,jobphotos/couples.jpeg,,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
",Does the person who is being broken up with want to break up and what’s the reason stated by the person being broken up with that he/she does or does not want to break up?,What object(s) do either partner ask for back?,Does the person being broken up with expect that this is coming?,For how long has the initiator been wanting to break up?,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,061919_p1,001,2019_Jun_19_1710,part1_subjective_segmentation,3.0.4,59.9414900325823,
