instruct_text,instruct_text2,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,participant,session,date,expName,frameRate,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,space,0.4028482339999755,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,space,0.4025244889999158,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,space,0.3687126590002663,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
"In addition to reading all 16 stories, your task will be to answer perspective-related questions about each story.
",(press the space bar to continue),,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,space,2.351707522000197,,,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
You will answer the questions about each story after reading all 16 stories. ,None,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,space,0.3517785340000046,,,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
There will be four questions to answer per story.,None,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,space,0.30163083499974164,,,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
These questions are determined by the perspective you take during the story. ,None,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,space,0.3347723130000304,,,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
The questions will be the same for the stories read with the same perspective. ,None,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,space,0.519789972000126,,,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
"Before reading the stories, you will learn the questions associated with each career perspective in order to help you answer them. ",None,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,space,0.3838490660000389,,,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
You will have to try to learn these questions with a series of pre-task quizzes.,None,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,space,0.31745068600002924,,,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
"Once the story-reading task has begun, remember your answers to the questions for each story.",None,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,space,0.300762654999744,,,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
"Again, you will be asked about the answers to these questions for each story at end of the experiment. ",None,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,space,0.31752616899984787,,,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
Press the space bar to begin learning the perspectives and the questions for each one.,None,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,space,0.234840480999992,,,,,alex,001,2019_Jan_25_1149,part1_subjective_segmentation,60.02484836639976,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7342326210000465,,,,,,
