count,behav_recall_instructions.thisRepN,behav_recall_instructions.thisTrialN,behav_recall_instructions.thisN,behav_recall_instructions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_20.thisRepN,trials_20.thisTrialN,trials_20.thisN,trials_20.thisIndex,trials_18.thisRepN,trials_18.thisTrialN,trials_18.thisN,trials_18.thisIndex,trials_19.thisRepN,trials_19.thisTrialN,trials_19.thisN,trials_19.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,story_list_block2,action_list_block2,text_76.started,text_76.stopped,key_resp_30.keys,key_resp_30.rt,key_resp_30.started,key_resp_30.stopped,textTrigger.started,textTrigger.stopped,getTrigger.keys,getTrigger.rt,getTrigger.started,getTrigger.stopped,triggerTime,text_77.started,text_77.stopped,text_78.started,text_78.stopped,waitStart,image_23.started,image_23.stopped,waitEnd,text_41.started,text_41.stopped,key_resp_26.keys,key_resp_26.rt,key_resp_26.started,key_resp_26.stopped,text_42.started,text_42.stopped,text_51.started,text_51.stopped,recall_StartTime,recall_EndTime,image_20.started,image_20.stopped,text_75.started,text_75.stopped,recall_audio_2.filename,recall_audio_2.started,recall_audio_2.stopped,key_resp_27.keys,key_resp_27.rt,key_resp_27.started,key_resp_27.stopped,text_79.started,text_79.stopped,text_36.started,text_36.stopped,participant,sA,sB,lA,lB,block_struct,block,behavioral,random_seed,date,expName,psychopyVersion,frameRate,
4,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.5869940559996,591.4971762530004,None,554.5886925109999,,,,,,,,,,,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
5,,,,,,,,,0,0,0,0,0,5,5,5,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.5041955490005,None,6,2.1743860489996223,597.5041955490005,None,597.5041955490005,None,597.5041955490005,None,556.7901547259999,651.6548123840003,599.7148809790006,None,599.7148809790006,None,/Users/columbiadpml/Documents/GitHub/ebs/fMRI experiment/psychopy code/data/021020_bk2_recall_fmri_wav/recall_audio_2-1581364471.708.wav,0.013394026401329029,None,6,94.83481971299989,599.7148809790006,None,599.7148809790006,None,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
5,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.6589636640001,694.5690670930007,None,657.6664796189998,,,,,,,,,,,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
6,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,657.6702328950005,700.5858924870008,None,663.6872179359998,,,,,,,,,,,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
7,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663.6919118040005,706.5979433110006,None,669.6825084720003,,,,,,,,,,,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.6024227130001,None,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.1022013070005,713.1022013070005,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.5981210230002,713.5981210230002,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.097391581,714.097391581,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
,,,,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.5974650400003,714.5974650400003,021020,0,1,0,1,1,2,0,2,2020_Feb_10_1444,recall_fmri,3.2.4,59.98104790825481,
