count,storyText,locationEvent,socialEvent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,order of stories,order of perspectives,from whom,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story_presses.rt,participant,session,date,expName,frameRate,
0,"“Mr. Gordon, we really admire what you’re doing at your company.",2,2,0,0,0,0,,,,,0,9,9,9,,,,,,,,,,9,0.25140180499874987,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,We think it’s genius; we want to support your vision and make this tiny company of yours internationally known.,2,2,0,0,0,0,,,,,0,10,10,10,,,,,,,,,,9,0.10042739298660308,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"But honestly, your company doesn’t have the resources to reach international markets right now, maybe in a few years you could, but by that time, other companies may have already filled your niche.",2,2,0,0,0,0,,,,,0,11,11,11,,,,,,,,,,1,0.05204474998754449,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,I think we should join forces.”,2,2,0,0,0,0,,,,,0,12,12,12,,,,,,,,,,9,0.1683312359964475,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,The waitress came up to them and asked if they were ready to order.,3,2,0,0,0,0,,,,,0,13,13,13,,,,,,,,,,9,0.13475612198817544,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"Mr. Gordon ordered a medium-rare steak and martini, and Mr. Shelton ordered veal and a manhattan. ",3,2,0,0,0,0,,,,,0,14,14,14,,,,,,,,,,9,0.13494584697764367,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"Then Mr. Shelton continued, “Look, I’ve talked to other members of the board, and we are prepared to offer $600 million to buy your company. ",3,2,0,0,0,0,,,,,0,15,15,15,,,,,,,,,,1,0.03457737999269739,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"We'd keep on all of your current employees, and you would join as the director of your company branch.” ",3,2,0,0,0,0,,,,,0,16,16,16,,,,,,,,,,1,0.1522323819808662,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,Mr. Gordon sat looking at Mr. Shelton for a few moments considering his response. ,3,2,0,0,0,0,,,,,0,17,17,17,,,,,,,,,,1,0.15352558801532723,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,He looked at Mr. Shelton skeptically.,3,2,0,0,0,0,,,,,0,18,18,18,,,,,,,,,,1,0.13507164901238866,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"He said, “Mr. Shelton, I think that you make a compelling offer, but there are definitely some disadvantages to attaching our small, streamlined productions to a large company like yours.",3,3,0,0,0,0,,,,,0,19,19,19,,,,,,,,,,9,0.08453120299964212,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"We operate in a very different way than a large company, and the kind of administrative complexity that makes the scale of your productions possible would suffocate our business.",3,3,0,0,0,0,,,,,0,20,20,20,,,,,,,,,,9,0.10162667502299882,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"With our product, scaling-up doesn’t necessarily make sense.” ",3,3,0,0,0,0,,,,,0,21,21,21,,,,,,,,,,1,0.0019398749864194542,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,Mr. Shelton had expected this response and had come prepared.,3,3,0,0,0,0,,,,,0,22,22,22,,,,,,,,,,9,0.08412210698588751,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,He began laying out the details of how he had handled similar acquisitions successfully in the past.,3,3,0,0,0,0,,,,,0,23,23,23,,,,,,,,,,1,0.035027372010517865,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"Mr. Gordon was impressed, and they went back and forth hashing out what the company configuration would look like post-merger. ",3,3,0,0,0,0,,,,,0,24,24,24,,,,,,,,,,9,0.033446685993112624,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"The waitress brought the food out, interrupting their animated conversation.",4,3,0,0,0,0,,,,,0,25,25,25,,,,,,,,,,1,0.0911270710057579,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,“Oh this looks so good!” Mr. Gordon said. ,4,3,0,0,0,0,,,,,0,26,26,26,,,,,,,,,,1,0.15193050701054744,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0, “Can I get you anything else?” the waitress asked.,4,3,0,0,0,0,,,,,0,27,27,27,,,,,,,,,,1,0.13507310100249015,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,They declined and continued to talk.,4,3,0,0,0,0,,,,,0,28,28,28,,,,,,,,,,9,0.15094141499139369,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"The meal lived up to the reputation of the restaurant, which was known for having the best cuts of meat in the area.",4,3,0,0,0,0,,,,,0,29,29,29,,,,,,,,,,9,0.1346400390029885,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"Mr. Gordon, after taking a contemplative bite of his food, said, “Mr. Shelton, I think we have a deal. ",4,4,0,0,0,0,,,,,0,30,30,30,,,,,,,,,,9,0.16886830001021735,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"If you can guarantee that I can still have the final say in the all the work done by my team, I think this could be beneficial for both of us.",4,4,0,0,0,0,,,,,0,31,31,31,,,,,,,,,,9,0.13553053501527756,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,I propose a toast to the merging of our companies.”,4,4,0,0,0,0,,,,,0,32,32,32,,,,,,,,,,9,0.15224533100263216,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,Mr. Shelton grinned and lifted his martini to clink glasses.,4,4,0,0,0,0,,,,,0,33,33,33,,,,,,,,,,9,0.15175848500803113,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,"He said, “Cheers to a lifelong partnership and to the growth of your company.” ",4,4,0,0,0,0,,,,,0,34,34,34,,,,,,,,,,9,0.15844900999218225,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_26_1055,body_behavioural,60.04070639214579,
