count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,participant,session,date,expName,frameRate,
14,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,Your ,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
15,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,Double,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
,,The next part of the task is to answer questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,space,1.6517798269633204,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
,,The next part of the task is to answer questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
,,You will be asked the questions you were asked to remember for the job simulated during each story.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,space,0.3683650930179283,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
,,You will be asked the questions you were asked to remember for the job simulated during each story.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
,,You will also be asked questions that we didn’t tell you to think of for that story.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,space,0.4016809120075777,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
,,You will also be asked questions that we didn’t tell you to think of for that story.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer all these questions. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,space,0.4192102450178936,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer all these questions. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,space,0.3524538279743865,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,space,0.6844136939616874,Loc,non-primed first,,,,Soc,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,space,0.4680560060078278,Loc,non-primed first,,,,Soc,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
2,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,space,0.501439874060452,Loc,primed first,,,,Soc,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
3,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,space,0.35180402593687177,Loc,non-primed first,,,,Soc,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
4,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,space,0.4851396639132872,Loc,primed first,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
5,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,space,0.4517664819722995,Soc,non-primed first,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
6,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,space,0.6348793520592153,Soc,primed first,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
7,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,space,0.535291665000841,Loc,primed first,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
8,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,space,0.5682067719753832,,non-primed first,Soc,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
9,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,space,0.533961478038691,Loc,primed first,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
10,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,space,0.619343574042432,Soc,primed first,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
11,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,space,0.4344003649894148,Loc,primed first,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
12,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,space,0.40249613591004163,Soc,primed first,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
13,,,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,space,0.5032788800308481,Loc,primed first,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
14,,,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,space,0.9181372519815341,Loc,non-primed first,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
15,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,space,0.4349301760084927,Soc,primed first,,,,,,,,1234567,001,2019_Jan_18_1425,body_behavioural,59.94987543674968,
