instruct_text,instruct_text2,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
You will answer the questions about each story after reading all 16 stories. ,None,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,space,0.16739498905371875,,,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
There will be four questions to answer per story.,None,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,space,0.16797742899507284,,,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
These questions are determined by the perspective you take during the story. ,None,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,space,0.18536330398637801,,,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
The questions will be the same for the stories read with the same perspective. ,None,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,space,0.15199353103525937,,,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
"Before reading the stories, you will learn the questions associated with each career perspective in order to help you answer them. ",None,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,space,0.18560255004558712,,,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
You will have to try to learn these questions with a series of pre-task quizzes.,None,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,space,0.1687405010452494,,,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
"Once the story-reading task has begun, remember your answers to the questions for each story.",None,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,space,0.16795098199509084,,,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
"Again, you will be asked about the answers to these questions for each story at end of the experiment. ",None,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,space,0.16816678596660495,,,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
Press the space bar to begin learning the perspectives and the questions for each one.,None,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,space,0.1672190009849146,,,,,,,,,,,,,,,,001,2018_Dec_13_1406,part1,60.418069596003015,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1677458219928667,space,0.36835184902884066,space,0.13458551501389593,space,0.6521895750192925,space,0.41694748296868056,space,0.5674134430009872,,,,,,
