instruct_text,instruct_text2,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,frameRate,
,,couples.jpeg,"Couples Therapist
",,,,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,,space,0.1520434389822185,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
,,acem.jpg,Airport Customer Experience Manager,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,space,0.4512751130387187,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
,,restaurant_critic.jpg,Restaurant Critic,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,space,0.4843527440680191,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
"In addition to reading all 16 stories, your task will be to answer perspective-related questions about each story.
",(press the space bar to continue),,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,space,0.519250349025242,,,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
You will answer the questions about each story after reading all 16 stories. ,None,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,space,0.15165343799162656,,,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
There will be four questions to answer per story.,None,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,space,0.13479076500516385,,,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
These questions are determined by the perspective you take during the story. ,None,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,space,0.35092338698450476,,,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
The questions will be the same for the stories read with the same perspective. ,None,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,space,0.15256497100926936,,,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
"Before reading the stories, you will learn the questions associated with each career perspective in order to help you answer them. ",None,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,space,0.4183488968992606,,,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
You will have to try to learn these questions with a series of pre-task quizzes.,None,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,space,0.13406655192375183,,,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
"Once the story-reading task has begun, remember your answers to the questions for each story.",None,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,space,0.3681203129235655,,,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
"Again, you will be asked about the answers to these questions for each story at end of the experiment. ",None,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,space,0.10219361400231719,,,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
Press the space bar to begin learning the perspectives and the questions for each one.,None,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,space,0.21886489691678435,,,,,,,,,,,,,,001,2018_Dec_13_1230,part1,59.90254012637421,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6835588680114597,space,0.5349934130208567,space,0.7847442920319736,space,0.7843855710234493,space,0.6184775970177725,,,,,,
