count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_correct_perspective,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
2,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,, kjlskfj klsj f kjlfdskj slkd,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
3,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,Lksj flksdj ksjfl kjsfl kjs,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
4,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,Kj flkfsjdl kjsdlkf jsdlkjf lsdkjf lskdjf ,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
5,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,K sjflkjls kjfdslk jsldkj lksj f,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
6,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,Kjlskjf lksdjf lsdkjflksdjf,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
7,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,Lkjflk jdlfkj kjsdjk fk,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
8,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,Kjlfkdaj lkfdja lbackslashkj,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
9,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,Sfkj ljksd ,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
10,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
11,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,Kj ldskj skdl,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
12,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
13,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,Lk,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
14,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
15,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,space,1.2684974649455398,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
,,The next part of the task is to answer specific questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,space,0.3847301689675078,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,space,0.967579361051321,It is very old an modern,The class is about ,T,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,Kjs fdlkj s,,,space,1.1672890370246023,J,Kj lkjdskfj sdkj ksdj,Dskjf kjdfs kjsd,Kjs fdlkj s,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
2,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,Yes,,,space,1.2194080060580745,Jangry,Because she doesnt want to fight anymore,He accepts it,Yes,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
3,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,, kl jsdf,,,space,1.4356209799880162,,Kdfj lskdjf ,K sjfdlk s, kl jsdf,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
4,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,space,0.6017129090614617,Very nervous,5 little diamonds on the band,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
5,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,space,0.751531665911898,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
6,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,space,0.43501962907612324,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
7,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,space,0.952091570943594,,  ,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
8,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,space,0.5347430030815303,, ,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
9,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,space,0.6019481850089505,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
10,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,space,0.5015192090068012,,  ,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
11,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,space,0.5183532570954412,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
12,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,space,0.5009910929948092,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
13,,,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,space,0.7855992210097611,,,,,,001,2019_Jan_15_1213,body_behavioural,60.02024700279103,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6002883890178055,B,,,,,,,,,
