count,storyText,locationEvent,socialEvent,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6006873199949041,Q,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
1,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.0527874539839104,Q,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
2,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.2362808940233663,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
3,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.20285700890235603,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
4,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.21735723305027932,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
5,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.35299293498974293,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
6,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5527720530517399,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
7,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.40244337101466954,,,,,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.71879584202543,space,0.5528440050547943,,,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
,,,,,"In this last part of the experiment, please answer 8 questions about each story.",,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.886540401959792,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
,,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.4527593520469964,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
,,,,,"We realize that we did not tell you to think of these questions during the story, but please do your best to answer them.",,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.6508502130163833,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
,,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer to move onto the next question. ",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,10.15422046103049,',001,2019_Jun_16_1939,body_behavioural,3.0.4,60.00522356783358,
