instruct_text,this_pic,rolePic,job,instruct_text2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,space,0.11723557200002688,,,,,,,,,,,,,,,021219_p1,001,2019_Feb_12_1238,part1_subjective_segmentation,3.0.3,59.99969820149009,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,space,0.10293744999944465,,,,,,,,,,,,,,,021219_p1,001,2019_Feb_12_1238,part1_subjective_segmentation,3.0.3,59.99969820149009,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,0,4,4,6,,,,,,,,,,,,,,,,,,,,,,space,0.10302026699991984,,,,,,,,,,,,,,,021219_p1,001,2019_Feb_12_1238,part1_subjective_segmentation,3.0.3,59.99969820149009,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,space,0.11991020999994362,,,,,,,,,,,,,,,021219_p1,001,2019_Feb_12_1238,part1_subjective_segmentation,3.0.3,59.99969820149009,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,space,0.08621007500005362,,,,,,,,,,,,,,,021219_p1,001,2019_Feb_12_1238,part1_subjective_segmentation,3.0.3,59.99969820149009,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,space,0.10287374499966973,,,,,,,,,,,,,,,021219_p1,001,2019_Feb_12_1238,part1_subjective_segmentation,3.0.3,59.99969820149009,
Each of these perspectives will be applied to one story. ,,,,(press space to continue),,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,space,0.13638449000063702,,,,,,,,,,,,,021219_p1,001,2019_Feb_12_1238,part1_subjective_segmentation,3.0.3,59.99969820149009,
"Each perspective has 4 questions, and you will answer these questions about each story.",,,,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,space,0.38610545699975773,,,,,,,,,,,,,021219_p1,001,2019_Feb_12_1238,part1_subjective_segmentation,3.0.3,59.99969820149009,
You’ll answer these questions about each story after reading all 8 stories. ,,,,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,space,0.3363022550001915,,,,,,,,,,,,,021219_p1,001,2019_Feb_12_1238,part1_subjective_segmentation,3.0.3,59.99969820149009,
You’ll learn these questions with a series of pre-task quizzes and then the story reading will begin.,,,,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,space,0.21954293999988295,,,,,,,,,,,,,021219_p1,001,2019_Feb_12_1238,part1_subjective_segmentation,3.0.3,59.99969820149009,
"Once the story-reading task has begun, remember your answers to the questions for each story.",,,,None,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,space,0.21971511999981885,,,,,,,,,,,,,021219_p1,001,2019_Feb_12_1238,part1_subjective_segmentation,3.0.3,59.99969820149009,
Press the space bar to begin learning the perspectives and the questions for each one.,,,,None,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,space,0.20259919799991621,,,,,,,,,,,,,021219_p1,001,2019_Feb_12_1238,part1_subjective_segmentation,3.0.3,59.99969820149009,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5029807719993187,space,0.30333070999949996,space,0.503021386999535,space,1.1841106219999347,space,0.2862271079993661,space,0.5507340749991272,,,,,,,
