count,storyText,locationEvent,socialEvent,story,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_15.keys,key_resp_15.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,participant,session,date,expName,psychopyVersion,frameRate,
0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.9862250100122765,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
1,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5194871999556199,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
2,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.236767114023678,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
3,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18369719700422138,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
4,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1866435749689117,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
5,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15287301503121853,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
6,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15382982196751982,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
7,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.12040861893910915,,,,,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.474904415896162,space,0.17002712294925004,,,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
,,,,,"In this last part of the experiment, please answer 8 questions about each story.",,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.285847697989084,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
,,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.4530946720624343,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
,,,,,"We realize that we did not tell you to think of these questions during the story, but please do your best to answer them.",,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.6674361149780452,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
,,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.6030214490601793,,,,,,',001,2019_Jun_16_1942,body_behavioural,3.0.4,60.03058452283934,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.6528897230746225, ,non-primed first,,,,,,,,
