count,storyText,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,story_presses.keys,story_presses.rt,key_resp_2.keys,key_resp_2.rt,recall,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,question1_correct_perspective,order of question,question2_correct_perspective,question3_correct_perspective,question4_correct_perspective,participant,session,date,expName,frameRate,
6,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,Broken ,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
7,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,Heart,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
8,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,And a ,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
9,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,Child,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
10,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,That was,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
11,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,Born,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
12,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,Out ,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
13,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,Of ,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
14,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,A ,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
15,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,Wound,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
,,The next part of the task is to answer questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,space,6.470914411940612,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
,,The next part of the task is to answer questions about each story.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
,,You will be asked the questions you were asked to remember for the job simulated during each story.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,space,3.3671769060892984,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
,,You will be asked the questions you were asked to remember for the job simulated during each story.,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
,,You will also be asked questions that we didn’t tell you to think of for that story.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,space,21.85940209799446,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
,,You will also be asked questions that we didn’t tell you to think of for that story.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer all these questions. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,space,3.619648310006596,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer all these questions. ",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,space,2.0013231929624453,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
,,Hit enter to submit your answer and move onto the next question. ,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,L,,,space,1.0348461299436167,Social,primed first,S,S,L,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
1,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,S,,,space,2.936719733988866,Location,non-primed first,L,L,S,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
2,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,;,,,space,0.5680863790912554,Social,primed first,S,S,;,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
3,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,S,,,space,0.5013211419573054,Location,primed first,L,L,S,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
4,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,space,0.5011571130016819,Location,primed first,L,L,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
5,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,space,0.61831027304288,Location,non-primed first,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
6,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,space,0.569408135022968,Locaiton,primed first,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
7,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,space,0.5015610379632562,Location,primed first,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
8,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,space,0.6015923949889839,Location,primed first,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
9,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,space,0.6182689239503816,Social,primed first,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
10,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,space,0.5847946860594675,Location,non-primed first,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
11,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,space,0.5855737839592621,Location,primed first,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
12,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,space,0.5521109059918672,Location,primed first,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
13,,,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,space,0.4846852399641648,Location,non-primed first,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
14,,,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,space,0.535655481973663,Location,primed first,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
15,,,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,space,0.5677438679849729,Social,primed first,,,,123456,001,2019_Jan_18_1416,body_behavioural,59.96866601473598,
