count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_7.keys,key_resp_7.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,space,1.6197838749999391,Dkfjslk,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
2,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,space,0.6196984999996857,Dskfjl,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
3,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,space,1.5353605820000666,Kdjfsl,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
4,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,space,1.7859730989998752,,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
5,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,space,0.7694416999997884,,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
6,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,space,0.3842588249999608,,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
7,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,space,0.38606438200031334,,,,,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.66004980100024,space,1.0362600429998565,,,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.41986074900023596,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5868201899997985,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.28640323499985243,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.21975730700023632,,,',001,2019_Feb_21_1151,body_behavioural,3.0.4,59.998020665331005,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15231288099994345,,,,,,,
