instruct_text,instruct_text2,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,instructText,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,participant,session,date,expName,frameRate,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.4172725640000863,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7513288869995449,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5852920150009595,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.42062244600128906,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3521799669997563,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
"In addition to reading all 16 stories, your task will be to answer perspective-related questions about each story.
",(press the space bar to continue),,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,7.20372598799986,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
You will answer the questions about each story after reading all 16 stories. ,None,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,space,1.0517623579999054,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
There will be four questions to answer per story.,None,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,space,0.33489294499850075,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
These questions are determined by the perspective you take during the story. ,None,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,space,0.36693953199937823,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
The questions will be the same for the stories read with the same perspective. ,None,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,space,0.2864019209991966,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
"Before reading the stories, you will learn the questions associated with each career perspective in order to help you answer them. ",None,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,space,0.2678213740000501,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
You will have to try to learn these questions with a series of pre-task quizzes.,None,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,space,0.23472385899913206,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
"Once the story-reading task has begun, remember your answers to the questions for each story.",None,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,space,0.2841965749994415,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
"Again, you will be asked about the answers to these questions for each story at end of the experiment. ",None,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,space,0.30191897900112963,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
Press the space bar to begin learning the perspectives and the questions for each one.,None,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,space,0.15079054099987843,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,jobphotos/restaurant_critic.jpg,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,space,0.17366923800000222,space,4.81949806800003,space,1.6850219870011642,space,0.6339398979998805,space,0.7522074099997553,space,0.9195990589996654,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,jobphotos/restaurant_critic.jpg,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,0,0,0,1,1,0,1,0,,,,,,,,,,,,,,,,,space,0.9532793649996165,space,3.6676792680009385,space,0.28544828300073277,space,0.368853604000833,space,0.46851183000035235,space,0.46739282599992293,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,jobphotos/restaurant_critic.jpg,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,jobphotos/business_reporter.jpg,,What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.16799413800072216,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,jobphotos/business_reporter.jpg,,What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,,,,,,,,,,"Additionally, while reading each story, you will also indicate when you think a new “part” of the story is beginning. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,1.1672444340001675,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,,,,,,,,,,Some people feel that the stories have natural “parts”.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,space,0.18378388800010725,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,,,,,,,,,,You will press “9” if you think the sentence is the beginning of a new “part.”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,space,0.2515086049988895,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,,,,,,,,,,For example you should press “9” at the beginning of a new story or when you think a different event is beginning. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,space,0.085573337999449,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,,,,,,,,,,You will press “1” if you think the sentence is in the same “part” as the sentence before. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,space,0.1353976619993773,,,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.13476258700029575,,001,2019_Jan_30_1520,part1_subjective_segmentation,59.977443922958926,
