instruct_text,rolePic,job,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1336398220155388,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3512105240370147,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
Questions?,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10262025997508317,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
Let's begin Part 1! ,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15054448205046356,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
The 8 perspectives are as follows:,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.535853676032275,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1362790209823288,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08584244403755292,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10255628498271108,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.251961953996215,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08570408000377938,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.38570540701039135,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.23581972398096696,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.21932330599520355,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
You’ll become acquainted with these perspectives more in the following quizzes where you’ll learn the 4 questions associated with each perspective. ,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,space,0.13600179797504097,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
"For each perspective, you'll go through all four questions in a sequence. ",,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,space,0.15270542399957776,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
Then you'll get the quiz and indicate which questions you saw in the order in which they appeared in the sequence. ,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,space,0.13580638699932024,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
You'll indicate the question you select by pressing the number key corresponding to the number in front of the question. ,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,space,0.10258705500746146,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
"If you indicate the wrong question during the quiz, you'll get the questions presented in the correct order again and restart the quiz. ",,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,space,0.11895269202068448,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
"After you've passed the quizzes for each perspective, you'll do all of the quizzes a final time but without seeing the correct order of the questions beforehand.",,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,space,0.10263407602906227,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
Press space to begin the quizzes!,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,space,0.10241495497757569,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1148,part1_subjective_segmentation,3.0.4,59.97922606131042,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5839238000335172,space,1.5525226279860362,space,5.1700479200226255,space,0.8525474700145423,space,1.6196971929748543,,,,,,,
