instruct_text,this_pic,rolePic,job,instruct_text2,Q1,Q2,Q3,Q4,D1,D2,roleName,instructText,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,participant,session,date,expName,frameRate,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.28446888500184286,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3009525119996397,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.250866230999236,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2840911069943104,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.26744155399501324,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3339970000088215,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
Each of these perspectives will be applied to one story. ,,,,(press space to continue),,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7178534979902906,,,,,,,,,,,,,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
"Each perspective has 4 questions, and you will answer these questions about each story.",,,,None,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,space,0.41846277099102736,,,,,,,,,,,,,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
You’ll answer these questions about each story after reading all 8 stories. ,,,,None,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3850929639884271,,,,,,,,,,,,,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
You’ll learn these questions with a series of pre-task quizzes and then the story reading will begin.,,,,None,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,space,0.40073114600090776,,,,,,,,,,,,,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
"Once the story-reading task has begun, remember your answers to the questions for each story.",,,,None,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3015694999921834,,,,,,,,,,,,,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
Press the space bar to begin learning the perspectives and the questions for each one.,,,,None,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2349323060043389,,,,,,,,,,,,,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,jobphotos/restaurant_critic.jpg,,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.4196915299980901,space,0.3838370930025121,space,0.15216046500427183,space,0.15085187999648042,space,0.1354582469939487,space,0.16747506400861312,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,jobphotos/restaurant_critic.jpg,,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,0,0,0,1,1,0,1,0,,,,,,,,,,,,,,,,,,,space,0.3881248190009501,space,0.40087298200523946,space,0.2856147529964801,space,0.2179822990001412,space,0.28494209599739406,space,0.4682867149967933,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,jobphotos/restaurant_critic.jpg,,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,0,0,0,1,2,0,2,0,,,,,,,,,,,,,,,,,,,space,1.9017167730053188,space,0.3031129630107898,space,0.18403896199015435,space,0.1673616300104186,space,0.1347476299997652,space,0.20165860099950805,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,jobphotos/restaurant_critic.jpg,,,How is the restaurant decorated?,What are the menus like?,"What do the clients order?
",How do the clients like the food?,How old is the waiter?,What meal is being served?,Restaurant Critic,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,jobphotos/business_reporter.jpg,,,What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,space,0.08443439699476585,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,jobphotos/business_reporter.jpg,,,What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,,,,,,,,,,,"Additionally, while reading each story, you will also indicate when you think a new “part” of the story is beginning. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,4.169629926997004,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,,,,,,,,,,,Some people feel that the stories have natural “parts”.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,space,1.7339577730017481,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,,,,,,,,,,,You will press “9” if you think the sentence is the beginning of a new “part.”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,space,2.78594281799451,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,,,,,,,,,,,For example you should press “9” at the beginning of a new story or when you think a different event is beginning. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,space,2.685855087998789,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,,,,,,,,,,,You will press “1” if you think the sentence is in the same “part” as the sentence before. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,space,1.8867911269917386,,,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5854972950037336,',001,2019_Feb_04_1721,part1_subjective_segmentation,60.16701605836633,
