instruct_text,this_pic,rolePic,job,instruct_text2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Q1,Q2,Q3,Q4,D1,D2,roleName,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
Let’s begin! The 8 perspectives are as follows:,None,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,space,2.8364854699993884,,,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,space,1.7173490850000235,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,space,0.7696771000009903,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,space,0.4030985800000053,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,space,0.25285153000004357,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,space,0.5367914499984181,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,space,0.20292415299991262,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,space,0.2363335099998949,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,space,0.23692183400089561,,,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
You’ll become acquainted with these perspectives more in the following pre-task quizzes where you’ll learn the questions associated with each perspective. ,,,,None,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,space,0.23602938200019707,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
You’ll first go through all four questions for each perspective. ,,,,None,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,space,4.236419502998615,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
"Then, you’ll indicate the order in which you saw the questions during the quiz. ",,,,None,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,space,0.4361545000010665,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
"If you indicate the wrong question during the quiz, you’ll restart the learning.",,,,None,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,space,3.135940900001515,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
"After you’ve passed the learning for each perspective, you’ll have a round of final quizzes. ",,,,None,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,space,2.470285471999887,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
Press the space bar to begin the quizzes. ,,,,None,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,space,1.002815918000124,,,,,,,,,,,',001,2019_Feb_14_1642,part1_subjective_segmentation,3.0.3,60.20541545939269,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5697151229996962,space,0.36730494199946406,space,0.25298440500046127,space,0.15091970499997842,space,0.08628898500137439,,,,,,,
