count,storyText,locationEvent,socialEvent,instructText,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,order of stories,order of perspectives,participant 2 order - stories,participant 2 order  - schemas types,key_resp_8.keys,key_resp_8.rt,key_resp_5.keys,key_resp_5.rt,key_resp_7.keys,key_resp_7.rt,key_resp_14.keys,key_resp_14.rt,story_presses.keys,story time,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_10.keys,key_resp_10.rt,recall,recall time,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.rt,key_resp_11.keys,key_resp_11.rt,question1_answer,order of question,question2_answer,question3_answer,question4_answer,question5_answer,question6_answer,question7_answer,question8_answer,questions time,key_resp_13.keys,key_resp_13.rt,participant,session,date,expName,psychopyVersion,frameRate,
4,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.5698100349999891,J ,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
5,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6703616320000378,J,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
6,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.6698248319999607,Jj,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
7,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.603221494999957, ,,,,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.619909087999986,space,0.7196844850000161,,,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
,,,,The next part of the task is to answer 8 questions about each story.,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.45335116500001504,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
,,,,Some of the questions are not related to the perspective you were asked to assume.,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3197928000000161,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
,,,,"We realize that we did not tell you to think of these questions during the story, but do your best to answer them.",,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.21978198700003304,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
,,,,"When you have finished typing your answer, hit ‘return’ to submit your answer and move onto the next question. ",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2027023019999774,,,,,,,,,,,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,space,0.18592269200001965,J,non-primed first, j,J,J,J,F,F,F,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,space,0.6008196849999194,F,primed first,F,F,F,F,F,F,F,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,space,0.5863704099999723,F,non-primed first,F,F,F,F,F,F,F,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,space,0.5340481200000795,F,primed first,F,F,F,F,F,F,F,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,space,0.5036805710000181,F,non-primed first,V,B,B,G,G,,G,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,G,,,,,,space,0.5196662680000372,G,primed first,G,G,G,G,G,G,G,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.47011107000002994,G,primed first,G,G,G,G,G,G,G,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.4363242250000212,G,non-primed first,G,G,G,G,G,G,,,,,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.57180231299998,space,0.6862827569999581,today1,001,2019_Feb_19_1106,body_behavioural,3.0.3,60.29099557538001,
