instruct_text,rolePic,job,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,trials_10.thisRepN,trials_10.thisTrialN,trials_10.thisN,trials_10.thisIndex,trials_11.thisRepN,trials_11.thisTrialN,trials_11.thisN,trials_11.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_12.thisRepN,trials_12.thisTrialN,trials_12.thisN,trials_12.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,key_resp_9.keys,key_resp_9.rt,key_resp_8.keys,key_resp_8.rt,key_resp_15.keys,key_resp_15.rt,key_resp_16.keys,key_resp_16.rt,key_resp_17.keys,key_resp_17.rt,key_resp_2.keys,key_resp_2.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
You'll be given a quiz before the story for the 4 questions of the assigned perspective. ,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11734461796004325,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
You must pass this quiz to move onto the story. ,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08653593499911949,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
3,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1530218449770473,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15301516698673368,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
There is a 5 minute time limit for recalling each story. ,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11970658297650516,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
4,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15319071500562131,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
"In the fourth part of the experiment, you will be asked questions about each story. ",,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11923956096870825,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15318017499521375,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
Questions?,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.12009483698057011,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
Let's begin Part 1! ,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1531221500481479,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
The 8 perspectives are as follows:,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.15060066396836191,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.0866021669935435,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10311682999599725,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.10307617200305685,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.08678710804088041,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11986629699822515,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.11725188494892791,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.2194628689903766,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.12004445301136002,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
You’ll become acquainted with these perspectives more in the following quizzes where you’ll learn the 4 questions associated with each perspective. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,space,0.10388947499450296,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
"For each perspective, you'll go through all four questions in a sequence. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,space,0.16984445502748713,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
Then you'll get the quiz and indicate which questions you saw in the order in which they appeared in the sequence. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,space,0.2694092190358788,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
You'll indicate the question you select by pressing the number key corresponding to the number in front of the question. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,space,0.3203107810113579,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
"If you indicate the wrong question during the quiz, you'll get the questions presented in the correct order again and restart the quiz. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,space,0.26990323001518846,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
"After you've passed the quizzes for each perspective, you'll do all of the quizzes a final time but without seeing the correct order of the questions beforehand.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,space,0.2841524149989709,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
Press space to begin the quizzes!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,space,0.369660654978361,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
,jobphotos/gscem.jpg,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How many checkout lanes are open and which one do the clients step into?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,space,0.5534886199748144,space,1.45368072000565,space,1.2364342860528268,space,5.82023561996175,space,2.3032573550008237,space,2.9537530450033955,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
,jobphotos/gscem.jpg,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How many checkout lanes are open and which one do the clients step into?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Jun_14_1152,part1_subjective_segmentation,3.0.4,60.007235684263065,
