instruct_text,this_pic,rolePic,job,instruct_text2,Q1,Q2,Q3,Q4,D1,D2,roleName,instructText,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_8.thisRepN,trials_8.thisTrialN,trials_8.thisN,trials_8.thisIndex,trials_9.thisRepN,trials_9.thisTrialN,trials_9.thisN,trials_9.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,instructions time,key_resp_7.keys,key_resp_7.rt,participant,session,date,expName,psychopyVersion,frameRate,
Let’s begin! The 8 perspectives are as follows:,None,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0860447730010492,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,jobphotos/acem.jpg,Airport Customer Experience Manager,,,,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6198098369968648,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,jobphotos/gscem.jpg,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.3004628300004697,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,jobphotos/restaurant_critic.jpg,Restaurant Critic,,,,,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.23406559800059767,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,jobphotos/dean.jpg,Dean of Academic Studies,,,,,,,,,,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18613694799933,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,jobphotos/couples.jpeg,"Couples Therapist
",,,,,,,,,,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.18653147000077297,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.20295381799951429,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,jobphotos/matchmaker.jpg,Matchmaker,,,,,,,,,,,,,,0,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.23624597500020172,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,,0,7,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.45263540799714974,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
You’ll become acquainted with these perspectives more in the following pre-task quizzes where you’ll learn the questions associated with each perspective. ,,,,(press space to continue),,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.1695373379989178,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
You’ll first go through all four questions for each perspective. ,,,,None,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.5344877600000473,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
"Then, you’ll indicate the order in which you saw the questions during the quiz. ",,,,None,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0695722400014347,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
"If you indicate the wrong question during the quiz, you’ll restart the learning.",,,,None,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.0531138829974225,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
"After you’ve passed the learning for each perspective, you’ll have a round of final quizzes. ",,,,None,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.434280055000272,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
Press the space bar to begin the quizzes. ,,,,None,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8195310650007741,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,jobphotos/gscem.jpg,,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How is the checkout line and how long do the clients wait in line?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,space,0.6364695150004991,space,0.3199937300014426,space,0.2530017579993,space,0.2367831749979814,space,0.23646989699773258,space,0.6864020150023862,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,jobphotos/gscem.jpg,,,"What is the grocery store like upon entering?
","What items do the clients pick out?
","How is the checkout line and how long do the clients wait in line?
","How much are the groceries and what method of payment do the clients use?
",How long does it take for the cashier to scan all of the customers’ groceries?,What type of grocery bags do the clients use?,"Grocery Store Customer Experience Manager
",,,,,,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,jobphotos/business_reporter.jpg,,,What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6201839019995532,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,jobphotos/business_reporter.jpg,,,What industry are the business people in?,What is being negotiated and how much money is at stake?,What is the response to the proposed deal?,What comes about from the business proposal?,Is the deal fair?,How long does it take to make the deal?,Business Reporter,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,,,,,,,,,,,Good job! You’ve finished the pre-task quizzes. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2001642379982513,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,,,,,,,,,,,You are about to begin the main task of reading the stories. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,space,1.4032154249980522,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,,,,,,,,,,,"The stories will presented to you sentence by sentence, so you’ll read each sentence in the story individually. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,space,2.686384705000819,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,,,,,,,,,,,"Before reading each story, you’ll be assigned a perspective and then given a quiz like the ones you just took for that perspective.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,space,4.769775965000008,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,,,,,,,,,,,"When you’ve finished the quiz, you’ll begin reading the story, sentence by sentence. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,space,8.053754368000227,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,,,,,,,,,,,"While reading the stories, you will additionally have to make a judgement about each sentence in order to advance to the next sentence. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,space,12.834892879996914,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,,,,,,,,,,,Some people feel that the stories have natural “parts”: we want you to make a judgement about when you think the story has transitioned from one “part” to another. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,space,4.370631357000093,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,,,,,,,,,,,You will press “9” if you think the sentence you are reading has ended the previous “part” and has begun a new “part” of the story. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,space,3.053265698003088,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,,,,,,,,,,,"For example, you should press “9” at the beginning of a new story or when you think a different event is beginning. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,space,2.5027283979979984,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,,,,,,,,,,,You will press “1” if you think the sentence is in the same “part” as the sentence before. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,space,1.5863839800003916,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,,,,,,,,,,,When you press “1” or “9” you will advance to the next sentence. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,space,4.402899272998184,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,,,,,,,,,,,Do you have any questions?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,space,0.7698506600027031,,,,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,127.36573761399995,space,0.5030168449993653,',001,2019_Feb_18_1004,part1_subjective_segmentation,3.0.3,60.01294106969177,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.88184233199718,,,,,,,,,
